Title	Order	Category	Min players	Max players	Best # of Players	Difficulty	Duration	max duration	Min Player Age	BGG Rating	Type of Game	Classic	co-op	Party	Expansion	Description	Notes
Bandida	6	Co-Op	1	4	2–3	1.36	15	15	6	6.48	family	FALSE	TRUE	FALSE	FALSE	Try to catch Bandida or help her to escape!	
Bandido	3	Lighter	1	4	2	1.10	10	15	6	6.42	family	FALSE	FALSE	FALSE	FALSE	There’s been a prison break! Close off all the exits to put the prisoner behind bars.	
BANG!	1	Party	4	7	7	1.63	20	40	8	6.49	party	FALSE	FALSE	TRUE	FALSE	Be the last one standing in this wild west shootout game with hidden roles.	
BANG! The Dice Game	1	Party	3	8	6–7	1.28	15	15	8	6.89	Party, Bluffing, Deduction, Hidden Roles, Push Your Luck	FALSE	FALSE	TRUE	FALSE	A wild west elimination dice game with secret teams. 	
Bargain Quest	4	Standard	2	6	4	2.03	30	60	8	6.84	family	FALSE	FALSE	FALSE	FALSE	Sell heroes the gear they need to defeat monsters threatening your town.	
Battle Sheep	3	Lighter	2	4	4	1.46	15	15	7	6.60	abstracts	FALSE	FALSE	FALSE	FALSE	Move and spread your flock to claim pastures while you block.	
Battleship	7	2-Player	2	2	2	1.21	30	30	8	4.72	childrens	FALSE	FALSE	FALSE	FALSE	Detect the enemy fleet and sink it.	
Beat the 8 Ball	1	Party	2	4	4	1.00	10	10	7	6.51	party	FALSE	FALSE	TRUE	FALSE		
Beer & Bread	7	2-Player	2	2	2	2.34	30	45	10	7.43	strategy, family	FALSE	FALSE	FALSE	FALSE	Two villages face off in the traditions of brewing beer and baking bread.	
Betrayal at Baldur's Gate	6	Co-Op	3	6	5	2.57	60	60	12	7.08	Thematic, Storytelling, Traitor, Team-Based, Modular Board	FALSE	TRUE	FALSE	FALSE	Explore the city, discover its mystery, and face the traitor amongst yourselves....	
Betrayal at House on the Hill	6	Co-Op	3	6	5–6	2.40	60	60	12	7.02	Thematic, Storytelling, Traitor, Team-Based, Modular Board	FALSE	TRUE	FALSE	FALSE	Explore a haunted house as a team ... until one of you turns against the rest.	
Betrayal at House on the Hill: Widow's Walk	6	Co-Op	3	6	4–6	2.80	60	0	12	7.45	Thematic, Storytelling, Traitor, Team-Based, Modular Board	FALSE	TRUE	FALSE	TRUE	Expands Betrayal at House on the Hill by adding the roof level, and 50 new haunts.	
Between Two Castles Essential Edition	3	Lighter	1	8		0.00	45	60	14	7.33		FALSE	FALSE	FALSE	FALSE	Work with two partners to draft and place tiles into two castles.	
Beyond the Sun	5	Advanced	2	4	3	3.13	60	120	14	7.91	strategy	FALSE	FALSE	FALSE	FALSE	Collectively develop a tech tree to fuel new discoveries and colonize space.	
Big Boggle	1	Party	2	8	4	1.50	10	10	8	6.89	family	FALSE	FALSE	TRUE	FALSE	Find words using connecting letters in a 5x5 grid. The longer the better!	
Bigfoot vs Yeti: Splat Attack! DEMO	10	 										FALSE	FALSE	FALSE	FALSE		
Bitoku	5	Advanced	1	4	3	3.74	120	120	12	7.83	strategy	FALSE	FALSE	FALSE	FALSE	Become the next great spirit of the forest, exploring it and helping lost souls.	
Black Forest	5	Advanced	1	4	1, 3	3.30	60	120	14	7.67		FALSE	FALSE	FALSE	FALSE	Develop your small, glass-making domain in the woods of the Black Forest.	
Black Hole Buccaneers	4	Standard	3	6	3–5	2.08	30	45	10	6.71		FALSE	FALSE	FALSE	FALSE	Collect valuable items and use their effects, but beware the pull of the black hole.	
Black Mirror: NOSEDIVE	4	Standard	3	6	3	1.80	0	0	13	4.09		FALSE	FALSE	FALSE	FALSE		
Black Mold	5	Advanced	2	5	5	3.00	60	120	12	7.47		FALSE	FALSE	FALSE	FALSE	The length of your turn is limited to how long you can hold your breath.	
Blokus	3	Lighter	2	4	4	1.74	20	20	7	6.86	Abstract, Tile Placement, Grid Coverage	FALSE	FALSE	FALSE	FALSE	Fit your tiles on a shared board with not enough space for everyone.	2 copies
Bloodborne: The Card Game	6	Co-Op	3	5	4–5	2.06	30	45	14	6.86	Thematic, Hand Managemnet, Push your luck, Semi-Cooperative	FALSE	TRUE	FALSE	FALSE	The hunt is on! Take on nightmarish fiends and collect the most blood echoes.	
Blueprints of Mad King Ludwig	4	Standard	1	5	4	2.60	60	60	15	7.40		FALSE	FALSE	FALSE	FALSE	Test your architectural skills as you sketch out amazing floor plans fit for a king.	
Bob Ross: Art of Chill Game	3	Lighter	2	4	3	1.73	30	30	12	6.74	family	FALSE	FALSE	FALSE	FALSE	Calmly collect paints and brushes to create almighty mountains and happy little trees	
Boggle Jr.	3	Lighter	1	2		1.33	10	10	3	4.47	childrens	FALSE	FALSE	TRUE	FALSE	Solitaire spelling drill for the preschooler.	
Bohnanza: 25th Anniversary Edition	3	Lighter	2	7	4–5	1.52	45	45	10	7.60	family	FALSE	FALSE	FALSE	FALSE	Celebrate a quarter century of planting beans.	
Bohnanza: Dahlias	3	Lighter	3	5	5	1.25	45	0	10	7.84		FALSE	FALSE	FALSE	FALSE	Plant and trade dahlias, while managing the flow of cards in your hand.	
Bonsai	4	Standard	1	4	3	1.87	40	40	10	7.21	family	FALSE	FALSE	FALSE	FALSE	Use your mastery of cultivation and meditation to guide the growth of your bonsai.	
Boonlake	5	Advanced	1	4	3	3.80	80	160	14	7.65	strategy	FALSE	FALSE	FALSE	FALSE	Build, raise cattle, expand and explore in a fictional Western US region.	
Botany	4	Standard	1	5	3–4	1.97	45	90	8	7.07		FALSE	FALSE	FALSE	FALSE	Flower hunters compete to find fortune and fame and be named the Royal Botanist.	
Break the Cube	3	Lighter	2	4	2	1.60	15	25	10	7.17	abstracts, family	FALSE	FALSE	FALSE	FALSE	Be the first player to break your opponent's cube!	
Brew	4	Standard	2	4	3	2.37	45	90	10	7.06	strategy	FALSE	FALSE	FALSE	FALSE	Bring balance back to the forest with potions and woodland creatures.	
Brigands	4	Standard	2	6	4–5	2.00	25	50	10	7.15		FALSE	FALSE	FALSE	FALSE	Only the most cunning or the most strategist will have the treasure of the city!	
Bärenpark	3	Lighter	2	4	4	1.66	30	45	8	7.29	Family, Tile Placement, Set Collection, Open Drafting	FALSE	FALSE	FALSE	FALSE	Build a bear park on personal boards by carefully placing polyominoes.	
Ca$h 'n Guns: Second Edition	1	Party	4	8	6–8	1.25	30	30	10	6.82	Party, Negotiation, Open Drafting, Player Elimination	FALSE	FALSE	TRUE	FALSE	A band of gangsters splits its loot — but guns speak louder than money.	
Calico	4	Standard	1	4	2	2.19	30	45	10	7.52	Abstract, Family, Tile Placement, Pattern Building	FALSE	FALSE	FALSE	FALSE	Sew a quilt, collect buttons, attract cats! 	
Call of Cthulhu: The Card Game	7	2-Player	2	2	2	2.89	30	30	13	6.89	Strategy, Deck/Bag/Pool Building, Open Drafting, Customizable	FALSE	FALSE	FALSE	FALSE	Succeed at stories by facing down your opponent with your custom deck.	
Call to Adventure	4	Standard	1	4	3	2.01	30	60	13	7.07	Thematic, Storytelling, Dice Rolling, Deck/Bag/Pool Building, Set Collecting	FALSE	FALSE	FALSE	FALSE	Hero or Foe? You decide in this tile chucking, character building game. 	
Call to Adventure: The Name of the Wind	4	Standard	2	4	2	2.43	30	60	13	7.15	Thematic, Storytelling, Dice Rolling, Deck/Bag/Pool Building, Set Collecting	FALSE	FALSE	FALSE	TRUE	A 75-card expansion based on The Kingkiller Chronicle by Patrick Rothfuss.	
Call to Adventure: The Stormlight Archive	4	Standard	1	4	3	1.95	30	60	13	7.00	Thematic, Storytelling, Dice Rolling, Deck/Bag/Pool Building, Set Collecting	FALSE	FALSE	FALSE	FALSE	Craft a hero's story in Roshar, and remember, journey before destination.	
Camel Up	3	Lighter	2	8	4–5	1.50	20	30	8	7.04	Party, Family, Betting and Bluffing, Dice Rolling	FALSE	FALSE	FALSE	FALSE	Place your bets and bend the odds in this crazy camel-stacking race!	
Camel Up: Off Season	4	Standard	3	5	3	2.00	45	45	8	6.89		FALSE	FALSE	FALSE	FALSE	Can you stack the camels in your caravan with goods without making them topple?	
Can't Catch Harry	1	Party	2	6	4	1.44	15	30	6	5.14		FALSE	FALSE	TRUE	FALSE	An Odd Ones Out version of the classic game spoons.	
Canasta Caliente	1	Party	2	6	4	1.72	60	60	7	6.32	family	FALSE	FALSE	TRUE	FALSE	Custom card deck for playing a Canasta variation with two to six players.	
Candyland Bingo	3	Lighter	2	4		1.00	10	10	4	4.23	childrens	FALSE	FALSE	FALSE	FALSE	Candyland Bingo is a delightful color-recognition treat for your children. 	
Canopy: Evergreen	4	Standard	1	4	3	2.20	45	60	10	7.52		FALSE	FALSE	FALSE	FALSE	Build your US Pacific Northwest forest with plants, animals, and trees!	
Captain Sonar	1	Party	2	8	8	2.20	45	60	14	7.51	Party, Thematic, Deduction, Hidden Movement, Team-Based, Simulation	FALSE	FALSE	TRUE	FALSE	Torpedoes away! Hunt for your opponent's sub in this exciting, real-time team game. 	
Carcassonne	4	Standard	2	5	2	1.89	30	45	7	7.41	Family, Terretory building, Tile Placement, Enclosure	FALSE	FALSE	FALSE	FALSE	Shape the medieval landscape of France, claiming cities, monasteries and farms.	
Carpe Diem	4	Standard	2	4	3	2.51	45	75	10	7.51	strategy	FALSE	FALSE	FALSE	FALSE	Build villas and lands to produce gold, bread and goods in ancient Rome.	
Cartographers	4	Standard	1	100	3–4	1.88	30	45	10	7.59	Family, Terretory Building, Paper-and-Pencil, Grid Coverage	FALSE	FALSE	FALSE	FALSE	Explore lands on behalf of the queen and draw the most proficient maps to earn favor.	
Cascadia	4	Standard	1	4	2–3	1.85	30	45	10	7.94	abstracts, family	FALSE	FALSE	FALSE	FALSE	Create the most harmonious ecosystem as you puzzle together habitats and wildlife.	
Castle Panic	6	Co-Op	1	6	4	1.65	30	60	8	6.65	family	FALSE	TRUE	FALSE	FALSE	We’re under attack! Protect the castle from the onslaught of fierce monsters.	
Castles by the Sea	4	Standard	1	4	2–3	2.11	30	60	12	6.99		FALSE	FALSE	FALSE	FALSE	Build and rebuild a tiny sandcastle kingdom in this 3D spatial puzzler.	
Castles of Burgundy, The	5	Advanced	1	4	2	2.92	70	120	12	8.44	strategy	FALSE	FALSE	FALSE	FALSE	Build your princedom into a bustling metropolis of commerce.	
Castles of Mad King Ludwig	4	Standard	1	4	4	2.65	90	90	13	7.51	strategy	FALSE	FALSE	FALSE	FALSE	Choose and play tiles to satisfy the king's whims and build the best fantasy castle.	
Cat Lady	3	Lighter	2	4	2	1.38	15	30	8	7.01	family	FALSE	FALSE	FALSE	FALSE	Collect food, toys, and even costumes to please your growing family of cats.	
Cat Lady: Box of Treats	3	Lighter	1	6	3–4	1.50	30	30	8	7.31		FALSE	FALSE	FALSE	TRUE	New challenges await you and your fellow cat lovers in Cat Lady: Box of Treats.	
Catan Dice Game	3	Lighter	1	4	2	1.23	15	30	7	5.72	family	FALSE	FALSE	FALSE	FALSE	Roll to build settlements, roads, cities and hire knights.	
Catan, The Settlers of 	4	Standard	3	6	3–4	2.48	60	75	10	7.08	strategy, family	FALSE	FALSE	FALSE	FALSE	Embark on a quest to settle the island of Catan!	
Catan: 5-6 Player Extension	4	Standard	5	6	5	2.31	120	120	10	6.97	family	FALSE	FALSE	FALSE	TRUE	Two more opponents in The Settlers of Catan? Yes you can.	Inside Classic Catan
Catan: Explorers & Pirates	5	Advanced	2	4	4	2.84	90	120	12	7.14	strategy, family	FALSE	FALSE	FALSE	FALSE	Race to explore & expand your colony off shore and bring back gold.	
Catch the Moon	3	Lighter	1	6	3–4	1.00	20	20	6	6.75	Family, Action/Dexterity, Stacking and Balancing	FALSE	FALSE	FALSE	FALSE	Reach for the moon in your dream on a precariously balanced stack of ladders.	
Cathedral	7	2-Player	2	2	2	1.79	20	20	8	6.55	abstracts	FALSE	FALSE	FALSE	FALSE	Outwit your opponent and play all your pieces first in this abstract city-builder.	
Catstronauts	3	Lighter	2	4		1.00	10	15	6	5.39		FALSE	FALSE	FALSE	FALSE	Race to place cats on the right sequence of planets!	
Cauldron Quest	6	Co-Op	2	4	2–3	1.17	20	0	6	6.20	childrens	FALSE	TRUE	FALSE	FALSE	Work together to get the three correct ingredients into the Cauldron before all six of the paths are blocked and the evil Wizard has destroys the kingdom! 	
Caverna: The Cave Farmers	5	Advanced	1	7	4	3.78	30	210	12	7.94	Strategy, Tile Placement, Worker Placement, Farming	FALSE	FALSE	FALSE	FALSE	From a simple cave, expand your dwarven home through mining, agriculture, and more. 	
Cellulose: A Plant Cell Biology Game	2	Classic	1	5	3	2.59	45	90	14	7.35	strategy	TRUE	FALSE	FALSE	FALSE	Worker Placement Engine-Builder in a Plant Cell	
Celtae	4	Standard	1	4	3	2.72	50	100	10	7.19		FALSE	FALSE	FALSE	FALSE	Lead the Celts on their European expansion.	
Century: A New World	4	Standard	2	4	3	2.12	30	45	8	7.31	Family, Strategy, Worker Placement, Set Collections, Action Retrival	FALSE	FALSE	FALSE	FALSE	Place workers to find and upgrade resources as the expedition reaches distant shores.	
Century: Eastern Wonders	4	Standard	2	4	4	2.11	30	45	8	7.12	Family, Set Collection, Contracts, Pick-up and Deliver	FALSE	FALSE	FALSE	FALSE	Explore the high seas to establish new spice trading networks among the islands.	
Century: Spice Road	4	Standard	2	5	3–4	1.80	30	45	8	7.30	Family, Auction Retrival, Deck/Bag/Pool Building, Engine Building	FALSE	FALSE	FALSE	FALSE	Grow and trade spices and use them to gain estate.	
Cerebria: The Inside World	5	Advanced	1	4	2, 4	4.34	60	120	14	7.74	strategy	FALSE	FALSE	FALSE	FALSE	Spirits of Bliss and Gloom manipulate emotions in a tug of war to represent the mind.	
Charcuterie: The Board Game	3	Lighter	2	6	4	1.33	10	30	12	6.92		FALSE	FALSE	FALSE	FALSE	Chefs compete drafting meats and more to create the most delicious charcuterie board.	
Checkers	2	Classic	2	2	2	1.71	30	30	6	4.93	Abstract strategy, Grid Movement, Pattern Movement	TRUE	FALSE	FALSE	FALSE	Checkmate your opponent in this timeless abstract. 	
Cheese Factory	3	Lighter	2	4		0.00	20	30	14	7.14		FALSE	FALSE	FALSE	FALSE	Choose a Chef! Build a Factory! Make the Cheese! Burn It All Down!	
Chess	2	Classic	2	2	2	3.65	0	0	6	7.22		TRUE	FALSE	FALSE	FALSE	Checkmate your opponent in this timeless abstract.	4 copies
Chocobo's Dungeon: The Board Game	3	Lighter	1	4	4	1.50	45	0	13	7.35		FALSE	FALSE	FALSE	FALSE	Co-op adventure: Conquer monsters, gather items, escape dungeons with Chocobo!	
Choose Your Own Adventure: House of Danger	6	Co-Op	1	99	1	1.13	60	60	10	6.22	thematic	FALSE	TRUE	FALSE	FALSE	Choose your path though a strange house and hope it doesn't end in death.	
Chronicles of Avel	6	Co-Op	1	4	3–4	1.96	60	60	8	7.56	childrens, family	FALSE	TRUE	FALSE	FALSE	Team up and fight together to save magical land of Avel.	
Citadels	4	Standard	2	8	5	2.04	30	60	10	7.25	family	FALSE	FALSE	FALSE	FALSE	Thief? King? Warlord? Draft the best temporary roles in this kingdom building game.	
Cities	4	Standard	2	4	4	2.00	30	40	10	7.47	family	FALSE	FALSE	FALSE	FALSE	Travel through the most unique cities of the world and plan the best neighborhood.	
Cities	4	Standard	2	4	4	2.00	30	40	10	7.45	family	FALSE	FALSE	FALSE	FALSE	Travel through the most unique cities of the world and plan the best neighborhood.	
City of the Great Machine	5	Advanced	1	4	1, 4	3.61	60	90	14	7.79	thematic, strategy	FALSE	FALSE	FALSE	FALSE	One-vs-Many strategy game set in the Victorian steampunk universe.	
Clank! In! Space!: A Deck-Building Adventure	4	Standard	2	4	3	2.58	45	90	12	7.78	Family, Strategy, Deck/Bag/Pool Building, Push Your Luck 	FALSE	FALSE	FALSE	FALSE	Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.	
CloudAge	5	Advanced	1	4	3	2.84	60	100	10	7.21	strategy	FALSE	FALSE	FALSE	FALSE	Travel in airships above dried-up landscapes, visit cities, and battle Cloud militia.	
Clue	2	Classic	2	6	4–5	1.65	45	45	8	5.68	family	TRUE	FALSE	FALSE	FALSE	An Amazon Alexa enabled adaptation of the classic board game whodunnit.	
Clue	3	Lighter	2	6	4–5	1.65	45	45	8	5.68	family	FALSE	FALSE	FALSE	FALSE	An Amazon Alexa enabled adaptation of the classic board game whodunnit.	
Clue Conspiracy	4	Standard	4	10	10	2.17	45	45	14	6.45		FALSE	FALSE	FALSE	FALSE	The team based, hidden role, adult party game version of Clue!	
Clue: Card Game	3	Lighter	3	4	4	1.29	15	15	8	5.84	family	FALSE	FALSE	FALSE	FALSE	Cluedo without a board. Solve a murder by asking the right questions!	
Clue: Treachery at Tudor Mansion	6	Co-Op	1	6	4	1.29	90	90	10	6.35		FALSE	TRUE	FALSE	FALSE	The classic Clue story in an escape room board game.	
Codenames	1	Party	2	8	6, 8	1.26	15	15	14	7.54	Party, Team-Based Game, Push Your Luck, Deduction	FALSE	FALSE	TRUE	FALSE	Give your team clever one-word clues to help them spot their agents in the field.	
Codenames BIG Box	1	Party	2	8	6, 8	1.26	15	15	14	7.54	Party, Team-Based Game, Push Your Luck, Deduction	FALSE	FALSE	TRUE	FALSE	Give your team clever one-word clues to help them spot their agents in the field.	
Codenames: Disney – Family Edition	3	Lighter	2	8	4, 6	1.21	15	15	8	6.61	party, family	FALSE	FALSE	FALSE	FALSE		
Codenames: Duet	7	2-Player	2	2	2	1.36	15	30	11	7.43	family	FALSE	FALSE	TRUE	FALSE	Swap one-word coded clues with your partner, trying to identify specific word cards.	
Codenames: Pictures	1	Party	2	8	6	1.24	15	15	10	7.18	party	FALSE	FALSE	TRUE	FALSE	Give your team one-word coded clues, trying to identify specific image cards.	2 copies
Coffee Rush	4	Standard	2	4	3	1.81	30	30	8	7.15	family	FALSE	FALSE	FALSE	FALSE	Become the greatest barista by quickly fulfilling coffee and beverage orders.	
Coffee Traders	5	Advanced	2	5	4–5	4.22	120	150	12	7.73	strategy	FALSE	FALSE	FALSE	FALSE	Develop coffee regions around the world while building your coffee trading network.	
Colt Express: Big Box	4	Standard	2	9	5–6	2.24	40	40	10	7.83		FALSE	FALSE	FALSE	FALSE	A collection of the Colt Express experience.	
Concordia	5	Advanced	2	5	4	2.99	100	100	13	8.09	strategy	FALSE	FALSE	FALSE	FALSE	Merchants build and trade throughout the Roman Empire to please the Gods.	
Connect Four	2	Classic	2	2	2	1.19	10	10	6	4.97	childrens, abstracts	TRUE	FALSE	FALSE	FALSE	Take turns dropping pieces to be the first player to connect four in a row!	
